"Model","Accuracy","Precision","Recall","F1"
"Logistic Regression",0.79125,0.799033149171271,0.964166666666667,0.873867069486405
"Random Forest",0.981875,0.97952497952498,0.996666666666667,0.988021478727798
"XGBoost",0.9775,0.977049180327869,0.993333333333333,0.985123966942149
